strain_code,chroma,sat,bright,clone_mean_area,n_plate,AUC_0,AUC_10,AUC_20,AUC_30,AUC_ratio_10,resilience_30,cu_dose_slope,cu_dose_r2,n_cu,IC50_est
DBVPG_4956,10.824092186821073,0.27339263239253414,0.6135671778439002,4.4476695770227925,4.0,1518573.0,1755420.0,1664805.75,1716086.25,1.1559668188490115,1.130065034739851,-0.009244084794056447,0.4620470205680284,7,
DBVPG_4957,12.243176588062836,0.31820016754728925,0.6267309452964065,4.491947945754973,4.0,1724514.75,1891217.0,1296156.0,140964.75,1.0966661781234401,0.08174168994495408,-0.06595325761085116,0.6354634724921047,7,24.00697932766615
DBVPG_4958,14.411736758760572,0.35835193566228346,0.6542257953765164,4.62104249223511,4.0,2493849.75,1874782.5,1247341.5,371883.0,0.7517624107065792,0.14912005023558456,-0.07699870252507163,0.8812287315711336,7,18.278013039239582
DBVPG_4962,12.035107922535584,0.30158467916765885,0.625152590218967,4.429338372934548,4.0,1511709.75,1405897.5,1697173.5,1220907.0,0.9300049166184183,0.8076332113357078,-0.010044021900823477,0.3226249733822045,7,
DBVPG_4963,11.800000989538015,0.2968789475124505,0.6186655985351339,4.500342839240603,4.0,1853393.25,2270153.25,1792790.25,1300399.5,1.2248632339628949,0.7016317233269302,-0.011910569364577928,0.4393907000418055,7,
DBVPG_4964,11.619162718838416,0.3027678661807858,0.6052236718293024,4.490880434467918,3.0,1909933.0,1829866.0,1378717.5,328219.0,0.958078634171984,0.17184843656819376,-0.027356065385204915,0.6600057539526557,7,28.929181882974763
DBVPG_5225,11.375170803912898,0.2845042821866615,0.6412756542305639,4.506782297053432,4.0,1845327.0,2312325.0,1656915.75,1395129.0,1.2530705939922844,0.756033483496421,-0.01702924995955723,0.5597087923848485,7,
DBVPG_5226,8.684128467155048,0.22070275903455755,0.59457827878233,4.772211651948018,4.0,3305971.5,1260383.0,1461616.5,1113641.25,0.38124436341934587,0.3368574865209818,-0.024841877567690327,0.8702723081737123,7,26.05948083997371
DBVPG_5227,9.43762882095507,0.24969489023356772,0.6064269092851149,4.570066939870891,4.0,2094061.5,2551320.0,1688398.5,416548.5,1.218359632704197,0.1989189429250287,-0.05505190069971869,0.6985043068143293,7,24.605423088859006
DBVPG_5228,12.412466254125114,0.31748720730369645,0.6169890135042344,4.528276994151291,4.0,1930378.5,2392779.0,1782485.25,808004.25,1.239538774390618,0.4185729637995865,-0.03178456312184828,0.615695577293588,7,28.169120902932836
DBVPG_5229,12.441609647984823,0.32211877405834444,0.6219396124208438,4.52583004010433,4.0,1932111.75,1505427.0,1634518.5,1418301.0,0.7791614537823706,0.7340677887808508,-0.029188582931387423,0.7803337971291912,7,28.376952952599524
DBVPG_5235,11.563692667310681,0.2865641812300441,0.6353131914244297,4.491030593229182,4.0,1768671.75,2040267.0,1632963.0,1030553.25,1.1535588782938384,0.5826707245140315,-0.017649971956198638,0.5611107135955787,7,
DBVPG_5236,10.633912568494848,0.2680718157626027,0.6229266803997864,4.502900306827937,3.0,1812878.0,2150497.5,1523314.0,2937324.75,1.1862339881668815,1.6202550585312414,-0.010487974434069043,0.5833735402382122,7,
DBVPG_5757,9.114541698917348,0.23626949243693296,0.6124551766231785,4.531453369556622,4.0,2003086.5,1733566.0,1323964.5,666226.5,0.8654473983025696,0.3325999651038535,-0.03132426576134388,0.8791905871313237,7,26.33079708819549
DBVPG_5758,9.15119308383824,0.23739710596206762,0.6149109254596781,4.463183509858501,4.0,1669858.5,904995.75,1132663.5,628266.0,0.541959543278667,0.3762390645674469,-0.043112821740089506,0.680091832046509,7,21.98692744564304
DBVPG_5759,8.875271920057937,0.23762274492335558,0.5885376134889754,4.385132401840573,4.0,1750256.25,1703894.0,1245594.75,621293.25,0.9735111644366361,0.3549727361350659,-0.023372532922670684,0.5699493464678166,7,
DBVPG_6091,11.653233648848492,0.2937763675820093,0.6095807583733882,4.510198039241988,4.0,1817367.75,2498887.5,2169267.75,1627364.25,1.3750037657485668,0.8954512646105885,-0.008994336756128275,0.3141070280570097,7,
DBVPG_6092,9.53547525442373,0.2427688155847164,0.605348287174792,4.395944189552762,4.0,1363999.5,2065736.0,1220727.0,832277.25,1.5144697633686817,0.6101741606210266,-0.021956430036826596,0.479839879275839,7,
DBVPG_6093,9.9869548871746,0.2591583559062325,0.6002721192238244,4.287932297130012,3.0,977053.0,1339680.0,1692735.0,853546.5,1.3711436329451934,0.8735928347796895,-0.005093796798246039,0.061652226787747705,7,
DBVPG_6593,8.376147817585842,0.21523725942081948,0.5894817654688335,4.723081968785757,4.0,3074731.5,2219575.0,1699794.0,1272188.25,0.7218760402331066,0.4137558840503634,-0.01941555015926886,0.9227016416516769,7,
DBVPG_6660,7.2252698017531705,0.19203069340545204,0.5918745708400092,4.7313812372638475,4.0,3071845.5,1513804.5,1563213.0,818892.0,0.49279968670299334,0.2665798133402217,-0.042317810594122006,0.9256347179105979,7,19.66162281067209
DBVPG_6741,11.370345956775411,0.2816074934040951,0.6410410467689021,4.544125429472523,4.0,2107959.0,1170524.25,2113186.5,1488505.5,0.5552879586367666,0.7061358878422208,-0.014238376477456212,0.6777488973197238,7,
DBVPG_6742,10.788418096132393,0.2695279489641593,0.6278877698939498,4.565751921057652,4.0,2069940.75,2274264.0,2092780.5,1613055.75,1.098709709444582,0.7792762908793404,-0.011918932670363638,0.5365156774150108,7,
DBVPG_6743,10.516646940240815,0.26610034020581064,0.6319962615396353,4.497199269533721,4.0,1809462.75,2164687.5,1478853.0,1272177.0,1.196315038814698,0.7030689081607234,-0.016541876162247095,0.6358658851968005,7,
DBVPG_6803,6.592495094430007,0.1741032849537062,0.6171842018259963,4.461773562878508,3.0,1650414.0,1559728.5,1216168.0,626794.0,0.94505287764161,0.3797798612954083,-0.018068353051412876,0.7393612705131708,7,
DBVPG_7019,10.618737954281647,0.26801259474096406,0.6200198367284657,4.446241945325413,4.0,1561171.5,529809.0,1141943.25,794766.0,0.33936630280529717,0.5090830828003201,-0.014881391543732293,0.5846873606601996,7,
DBVPG_8043,10.793476045051106,0.2708730808320472,0.6223020141908904,4.549582548231318,4.0,1985493.75,2255487.75,2128535.25,1610798.25,1.1359833039011078,0.8112834653848696,-0.008681426967074581,0.4722229183269221,7,
NRRL_Y-2510,1.9892555411211974,0.07644146209981446,0.49012232649220516,4.312396000693148,3.0,1009472.0,2269599.0,1063882.0,373434.75,2.248303073289799,0.36993076578647055,0.016688072029580184,0.13335639185666343,7,4.624851697778846
TFCN_100D-1,11.736102762881545,0.3181811395502669,0.5996757457846952,4.373941311518061,4.0,1483379.625,1959576.0,1365063.75,321724.875,1.321021245657193,0.21688640559560066,-0.042315316371649786,0.6406010060037908,7,26.723770195416694
TFCN_102C-1,11.125993979883596,0.28059706466442336,0.6227292668039979,4.533860991975016,4.0,1978880.25,1968027.0,1799099.25,1074241.5,0.9945154589318884,0.542853212062731,-0.019867154703328373,0.7223031964433145,7,
TFCN_102C-2,10.986252424259591,0.27773875747444254,0.6363155184252689,4.530574259749409,4.0,2224543.875,2282690.25,1664554.875,1154322.375,1.0261385606521247,0.5189029481380761,-0.024461376657258654,0.8687957094369294,7,
TFCN_102D-1,7.6623628206154955,0.2126577928218437,0.5471723125047685,4.389046415317413,4.0,1495165.875,2120039.0,1203573.0,582136.875,1.4179289639017476,0.38934601486942044,-0.03277186474874117,0.6117670827008554,7,27.79503237298199
