strain_id,species,copper_mm,n_wells,sd_log10_asat,median_asat
31.0,Rhodotorula mucilaginosa,10.0,4,0.06757764945617936,36011.600000000006
31.0,Rhodotorula mucilaginosa,15.0,4,0.038620465888042604,31761.7
31.0,Rhodotorula mucilaginosa,20.0,4,0.07920554189645858,26118.95
31.0,Rhodotorula mucilaginosa,25.0,4,0.1285140868424213,20254.949999999997
31.0,Rhodotorula mucilaginosa,30.0,4,0.3190834901314171,11624.6
32.0,Rhodotorula mucilaginosa,0.0,4,0.12839728021403435,27011.825
32.0,Rhodotorula mucilaginosa,5.0,4,0.08667253097970132,36641.649999999994
32.0,Rhodotorula mucilaginosa,10.0,4,0.06920930490599778,34427.600000000006
32.0,Rhodotorula mucilaginosa,15.0,4,0.08193979567089311,30437.975000000002
32.0,Rhodotorula mucilaginosa,20.0,4,0.13756021801684423,25016.425000000003
32.0,Rhodotorula mucilaginosa,25.0,4,0.1876893613477601,16841.425
32.0,Rhodotorula mucilaginosa,30.0,4,0.1253452595028913,8085.549999999999
33.0,Rhodotorula mucilaginosa,0.0,4,0.08947321399648087,25538.625
33.0,Rhodotorula mucilaginosa,5.0,4,0.07912161087307337,37445.375
33.0,Rhodotorula mucilaginosa,10.0,4,0.0650583641989217,33595.175
33.0,Rhodotorula mucilaginosa,15.0,4,0.04773043398182086,32114.45000000003
33.0,Rhodotorula mucilaginosa,20.0,4,0.11356317065393749,24574.225
33.0,Rhodotorula mucilaginosa,25.0,4,0.1510801887108702,16631.25
33.0,Rhodotorula mucilaginosa,30.0,4,0.3561576485287314,7496.475
34.0,Rhodotorula sphaerocarpa,0.0,4,0.7663421801051948,25728.200000000004
34.0,Rhodotorula sphaerocarpa,5.0,4,0.7599922075649023,34741.225
34.0,Rhodotorula sphaerocarpa,10.0,4,0.6487079644826694,32341.425000000003
34.0,Rhodotorula sphaerocarpa,15.0,4,0.7898458614575259,26723.949999999997
34.0,Rhodotorula sphaerocarpa,20.0,4,0.3931375902241386,29445.999999999985
34.0,Rhodotorula sphaerocarpa,25.0,4,0.47524510076538057,15831.525000000001
34.0,Rhodotorula sphaerocarpa,30.0,4,0.6344163747467109,9002.675000000001
35.0,,0.0,4,0.8203139103888002,6886.025000000001
35.0,,5.0,4,0.7734300262899523,1854.2999999999995
35.0,,10.0,4,0.7459098156839368,3233.0999999999995
35.0,,15.0,4,0.9378461086749138,721.15
35.0,,20.0,4,0.8159752374373374,1440.7999999999997
35.0,,25.0,4,0.605236309787897,169.77499999999998
35.0,,30.0,4,1.432760791168655,588.0125000000005
36.0,Rhodotorula mucilaginosa,0.0,4,0.08293381926076977,35211.9
36.0,Rhodotorula mucilaginosa,5.0,4,0.056242524521895605,44422.950000000004
36.0,Rhodotorula mucilaginosa,10.0,4,0.05229433353528752,40467.95
36.0,Rhodotorula mucilaginosa,15.0,4,0.041207177975211375,36903.825
36.0,Rhodotorula mucilaginosa,20.0,4,0.43984153104567636,34016.99999999999
36.0,Rhodotorula mucilaginosa,25.0,4,0.07546950100998884,24307.524999999914
36.0,Rhodotorula mucilaginosa,30.0,4,0.1464397336494219,11876.45
37.0,Rhodotorula paludigena,0.0,3,1.9139083572048736,26544.9
37.0,Rhodotorula paludigena,5.0,4,1.6962461459340359,17444.425
37.0,Rhodotorula paludigena,10.0,4,1.1084885243570324,14693.45
37.0,Rhodotorula paludigena,15.0,4,0.9475015560471398,14706.3125
37.0,Rhodotorula paludigena,20.0,4,1.0756092245470654,13372.474999999999
37.0,Rhodotorula paludigena,25.0,4,0.8992212538599548,7529.299999999998
37.0,Rhodotorula paludigena,30.0,4,0.24443517961222305,5779.299999999999
38.0,Rhodotorula mucilaginosa,0.0,4,0.09359145105189791,28418.200000000004
38.0,Rhodotorula mucilaginosa,5.0,4,0.03581901648957998,42290.675
38.0,Rhodotorula mucilaginosa,10.0,4,0.06164578181096104,37457.6
38.0,Rhodotorula mucilaginosa,15.0,4,0.07540748155942434,35964.850000000006
38.0,Rhodotorula mucilaginosa,20.0,4,0.10167394114886152,37017.575
38.0,Rhodotorula mucilaginosa,25.0,4,0.2736439223924228,34060.799999999996
38.0,Rhodotorula mucilaginosa,30.0,4,0.4974502389532244,20653.675000000003
39.0,Rhodotorula mucilaginosa,0.0,4,0.08967811640340378,34779.375
39.0,Rhodotorula mucilaginosa,5.0,4,0.04978908508127816,44363.8
39.0,Rhodotorula mucilaginosa,10.0,4,0.055402337069714494,39657.25
39.0,Rhodotorula mucilaginosa,15.0,4,0.0805019179905636,36418.225000000006
39.0,Rhodotorula mucilaginosa,20.0,4,0.1599867602317116,32753.225
39.0,Rhodotorula mucilaginosa,25.0,4,0.1409051376054795,21900.75
39.0,Rhodotorula mucilaginosa,30.0,4,0.5782369500409597,14892.75
40.0,Rhodotorula mucilaginosa,0.0,4,0.12859049259178792,38607.15
40.0,Rhodotorula mucilaginosa,5.0,4,0.06190551364447329,46202.200000000004
40.0,Rhodotorula mucilaginosa,10.0,4,0.09663989532762322,41710.0
40.0,Rhodotorula mucilaginosa,15.0,4,0.1379431968053803,36819.575
40.0,Rhodotorula mucilaginosa,20.0,4,0.21912960598591674,43844.425
40.0,Rhodotorula mucilaginosa,25.0,4,0.19385081208183533,26873.925000000003
40.0,Rhodotorula mucilaginosa,30.0,4,0.20788317841876838,15460.524999999998
41.0,Rhodotorula mucilaginosa,0.0,4,0.09753547578059922,32311.375
41.0,Rhodotorula mucilaginosa,5.0,4,0.05108595806720899,47722.350000000006
41.0,Rhodotorula mucilaginosa,10.0,4,0.05994365979112211,40211.475000000006
41.0,Rhodotorula mucilaginosa,15.0,4,0.06876322337889762,32974.3
41.0,Rhodotorula mucilaginosa,20.0,4,0.04226523350913782,28113.700000000004
41.0,Rhodotorula mucilaginosa,25.0,4,0.062031655210034585,25252.324999999997
41.0,Rhodotorula mucilaginosa,30.0,4,0.13345232203952406,14223.9
42.0,Rhodotorula mucilaginosa,0.0,4,0.8606788473515488,25849.425000000003
42.0,Rhodotorula mucilaginosa,5.0,4,0.9986596769986178,31294.899999999994
42.0,Rhodotorula mucilaginosa,10.0,4,0.867133016674972,16817.799999999996
42.0,Rhodotorula mucilaginosa,15.0,4,0.9146250202731021,16340.399999999996
42.0,Rhodotorula mucilaginosa,20.0,4,0.8464715072943176,15224.699999999997
42.0,Rhodotorula mucilaginosa,25.0,4,1.4977992546690195,15247.85
42.0,Rhodotorula mucilaginosa,30.0,4,0.8065922861251074,14969.6
43.0,Rhodotorula toruloides,0.0,4,0.5324855272991633,22383.125
43.0,Rhodotorula toruloides,5.0,4,0.5746590152937028,26009.350000000002
43.0,Rhodotorula toruloides,10.0,4,0.6481004899252284,22516.775
43.0,Rhodotorula toruloides,15.0,4,0.792574426750142,33900.975000000006
43.0,Rhodotorula toruloides,20.0,4,0.49670429907915253,20550.0
43.0,Rhodotorula toruloides,25.0,4,0.9069074955768074,12693.5625
43.0,Rhodotorula toruloides,30.0,4,0.5527767943970785,11597.899999999998
44.0,Rhodotorula diobovata,0.0,4,0.05293011786198309,27012.25
44.0,Rhodotorula diobovata,5.0,4,0.1111941898974085,42146.425
44.0,Rhodotorula diobovata,10.0,4,0.28127554751890055,33591.675
44.0,Rhodotorula diobovata,15.0,4,0.3164249394618918,24592.699999999997
44.0,Rhodotorula diobovata,20.0,4,0.7205332383373826,30452.8
44.0,Rhodotorula diobovata,25.0,4,0.8519388066541469,29723.225000000002
44.0,Rhodotorula diobovata,30.0,4,0.9776554014968457,11992.900000000001
45.0,Rhodotorula mucilaginosa,0.0,4,0.7401198605276231,32356.050000000003
45.0,Rhodotorula mucilaginosa,5.0,4,0.7149518931322477,38623.0
45.0,Rhodotorula mucilaginosa,10.0,4,0.8315074521797544,35883.325
45.0,Rhodotorula mucilaginosa,15.0,4,0.6024655828691602,33491.725
45.0,Rhodotorula mucilaginosa,20.0,4,0.747384527097481,30525.1
45.0,Rhodotorula mucilaginosa,25.0,4,0.600156609428329,20027.65
45.0,Rhodotorula mucilaginosa,30.0,4,0.07700218639744066,11194.6
46.0,Rhodotorula paludigena,0.0,4,0.987542910336934,25842.95
46.0,Rhodotorula paludigena,5.0,4,1.1873933286076845,30145.25
46.0,Rhodotorula paludigena,10.0,4,1.019619420873621,25589.125
46.0,Rhodotorula paludigena,15.0,4,0.6586725717514779,24048.85
46.0,Rhodotorula paludigena,20.0,4,0.7305314011960626,18451.349999999995
46.0,Rhodotorula paludigena,25.0,4,0.4853084408754821,12910.375
46.0,Rhodotorula paludigena,30.0,4,0.6856984723903866,8014.200000000001
47.0,Rhodotorula mucilaginosa,0.0,3,0.204162334308064,34592.15
47.0,Rhodotorula mucilaginosa,5.0,3,0.30775699081355906,44377.200000000004
47.0,Rhodotorula mucilaginosa,10.0,3,0.5508362461758803,40748.5
47.0,Rhodotorula mucilaginosa,15.0,4,1.288023214258227,20778.125
47.0,Rhodotorula mucilaginosa,20.0,4,0.6785104505117526,21656.862500000003
47.0,Rhodotorula mucilaginosa,25.0,4,0.7574262707128488,15295.775
47.0,Rhodotorula mucilaginosa,30.0,4,0.7759306334910152,15174.224999999999
48.0,Rhodotorula mucilaginosa,0.0,4,0.1303545376811034,35436.85
48.0,Rhodotorula mucilaginosa,5.0,4,0.09618494962924416,42443.4
48.0,Rhodotorula mucilaginosa,10.0,4,0.39575275249865133,32862.5
48.0,Rhodotorula mucilaginosa,15.0,4,0.672404186969523,31035.049999999996
48.0,Rhodotorula mucilaginosa,20.0,4,0.5123975816845118,21625.9
48.0,Rhodotorula mucilaginosa,25.0,4,0.44145331305991015,15511.650000000001
48.0,Rhodotorula mucilaginosa,30.0,4,0.5992005627494914,3812.9
49.0,Rhodotorula mucilaginosa,0.0,4,0.10321811910158032,29083.4
49.0,Rhodotorula mucilaginosa,5.0,4,0.07179184947273325,39635.7
49.0,Rhodotorula mucilaginosa,10.0,4,0.036467057678643715,34830.525
49.0,Rhodotorula mucilaginosa,15.0,4,0.07278370249320638,29521.32500000001
49.0,Rhodotorula mucilaginosa,20.0,4,0.05502998729005629,22142.324999999997
49.0,Rhodotorula mucilaginosa,25.0,4,0.09610290610702299,16227.2
49.0,Rhodotorula mucilaginosa,30.0,4,0.4614182235609722,9789.0
50.0,Rhodotorula mucilaginosa,0.0,4,0.08860506044566191,32727.875
50.0,Rhodotorula mucilaginosa,5.0,4,0.06949680229778357,44655.675
50.0,Rhodotorula mucilaginosa,10.0,4,0.07411175702380862,38255.175
50.0,Rhodotorula mucilaginosa,15.0,4,0.07734844886866786,34077.275
50.0,Rhodotorula mucilaginosa,20.0,4,0.4266578170878058,23895.699999999997
50.0,Rhodotorula mucilaginosa,25.0,4,0.11307401537672353,14747.850000000002
