strain_id,well,cu,species,t_capture_h,t_onset_h,max_area,max_chroma,n_tp
8.0,26,15.0,Rhodotorula mucilaginosa,51.0,0.0,23993.0,11.933855225375755,20
8.0,26,20.0,Rhodotorula mucilaginosa,0.0,0.0,23440.0,16.51382512539027,20
8.0,26,25.0,Rhodotorula mucilaginosa,39.0,0.0,32860.0,17.18017704999573,24
8.0,26,30.0,Rhodotorula mucilaginosa,24.0,0.0,34364.0,17.338917038410596,30
8.0,29,0.0,Rhodotorula mucilaginosa,27.0,33.0,38320.0,14.001787924436227,20
8.0,29,5.0,Rhodotorula mucilaginosa,33.0,33.0,60113.0,12.50840336124116,20
8.0,29,10.0,Rhodotorula mucilaginosa,27.0,0.0,52752.0,9.344274441611285,20
8.0,29,15.0,Rhodotorula mucilaginosa,21.0,0.0,39315.0,8.648245352327054,20
8.0,29,20.0,Rhodotorula mucilaginosa,21.0,0.0,28377.0,17.340641262696547,27
8.0,29,25.0,Rhodotorula mucilaginosa,27.0,0.0,23237.0,16.92837365238703,22
8.0,29,30.0,Rhodotorula mucilaginosa,0.0,0.0,8603.0,17.06274923691258,22
8.0,57,0.0,Rhodotorula mucilaginosa,39.0,39.0,33917.0,13.507210961786374,22
8.0,57,5.0,Rhodotorula mucilaginosa,0.0,33.0,37321.0,14.01444772646007,20
8.0,57,10.0,Rhodotorula mucilaginosa,39.0,0.0,32586.0,11.05823323811932,20
8.0,57,15.0,Rhodotorula mucilaginosa,39.0,0.0,29248.0,16.704112441913374,21
8.0,57,20.0,Rhodotorula mucilaginosa,33.0,0.0,22003.0,17.13983486923096,26
8.0,57,25.0,Rhodotorula mucilaginosa,33.0,0.0,12455.0,17.504958434809218,40
8.0,57,30.0,Rhodotorula mucilaginosa,45.0,0.0,4664.0,17.324935928482184,34
9.0,5,0.0,Rhodotorula mucilaginosa,39.0,57.0,40575.0,10.382430764456757,20
9.0,5,5.0,Rhodotorula mucilaginosa,39.0,45.0,51845.0,12.341068562666688,20
9.0,5,10.0,Rhodotorula mucilaginosa,39.0,0.0,44555.0,11.088187314934316,20
9.0,5,15.0,Rhodotorula mucilaginosa,39.0,0.0,38243.0,16.719085162827728,22
9.0,5,20.0,Rhodotorula mucilaginosa,39.0,3.0,35285.0,13.81879284930729,20
9.0,5,25.0,Rhodotorula mucilaginosa,39.0,0.0,24419.0,17.311732626967853,23
9.0,5,30.0,Rhodotorula mucilaginosa,9.0,9.0,8573.0,17.193771205780617,24
9.0,10,0.0,Rhodotorula mucilaginosa,27.0,33.0,45538.0,12.2063282405279,20
