strain_id,species,n_cu,slope_logchroma_per_mM,intercept_logchroma,r2,environment,origin
203.0,Rhodotorula dairenensis,28,-0.0197591355931617,2.82138576968797,0.5265861757271542,soil,Italy
204.0,Rhodotorula mucilaginosa,26,-0.009253725562574493,2.2119498724229922,0.08893625365306074,plant,Italy
205.0,Rhodotorula mucilaginosa,19,-0.00796896687029907,2.2548818479516557,0.03857924590684498,soil,Italy
206.0,Rhodotorula mucilaginosa,28,-0.021008449558041174,2.661011850916204,0.5858614366205492,plant,Italy
207.0,Rhodotorula mucilaginosa,28,-0.02045155790388111,2.6364550235314277,0.898529720398633,food,Italy
208.0,Rhodotorula mucilaginosa,28,-0.01211374437512827,2.5229612819840024,0.42947475159890197,marsh_tidalflat,China
209.0,Rhodotorula mucilaginosa,28,-0.02340074862020539,2.605878982585991,0.7721916094307145,marsh_tidalflat,China
210.0,Rhodotorula mucilaginosa,28,-0.00429239325545418,2.2037942573503164,0.04368587025785965,food,Italy
211.0,Rhodotorula mucilaginosa,28,-0.014344972075732152,2.802552588367739,0.5242552044243275,plant,Italy
213.0,Rhodotorula mucilaginosa,28,-0.021996908095945473,2.3373269452809375,0.46028787602904814,plant,Italy
214.0,Rhodotorula mucilaginosa,28,-0.011939195505973934,2.522291768988008,0.6827676857901129,soil,Italy
215.0,Rhodotorula taiwanensis,14,-0.048998947077628564,2.7134457544825015,0.41798264469841845,plant,Italy
216.0,Rhodotorula mucilaginosa,28,-0.018732308546581665,2.653465305993385,0.6888312392709762,food,Italy
217.0,Rhodotorula mucilaginosa,28,-0.024218787762296735,2.67677323018472,0.7305866839189176,marsh_tidalflat,China
218.0,Rhodotorula mucilaginosa,28,-0.014917898930309844,2.498687356699733,0.5948871565280485,marsh_tidalflat,China
219.0,Rhodotorula mucilaginosa,28,-0.02830138471023083,2.7742870202696874,0.7026117904848084,food,Italy
220.0,Rhodotorula mucilaginosa,28,-0.015638313481190314,2.785533736527724,0.5408259149156258,plant,Italy
221.0,Rhodotorula dairenensis,28,-0.01280707366066237,2.7511068222390485,0.3296169113984075,soil,Italy
222.0,Rhodotorula mucilaginosa,28,-0.026353378339082485,2.482080935733672,0.41405390712595924,plant,Italy
223.0,Rhodotorula mucilaginosa,28,-0.018298462315878186,2.6794013921487894,0.4767058863389355,unknown,Italy
224.0,Rhodotorula taiwanensis,17,-0.050436939370535075,2.8744910896030063,0.7142564066141163,plant,Italy
225.0,Rhodotorula mucilaginosa,28,-0.021311848293218073,2.4276613481439804,0.8209630399754275,food,Italy
227.0,Rhodotorula mucilaginosa,28,-0.04937420872845763,2.7482463310341654,0.8361214413275677,marsh_tidalflat,China
228.0,Rhodotorula mucilaginosa,28,-0.009961835946885244,2.247972688940583,0.3110655065073075,food,Italy
229.0,Rhodotorula mucilaginosa,28,-0.01715069559703668,2.4675650092837604,0.37355912087914667,food,Italy
230.0,Rhodotorula dairenensis,21,0.006620433549395895,1.8149778269944208,0.015904736043769616,soil,Italy
231.0,Rhodotorula mucilaginosa,28,-0.019955653204737227,2.803454801932529,0.6040647015510499,plant,Italy
232.0,Rhodotorula mucilaginosa,28,-0.01887368867346458,2.4384916712220783,0.5839463923433076,food,Italy
233.0,Rhodotorula mucilaginosa,28,-0.029580509042503433,2.431605718303962,0.4866055682455061,sand,Italy
234.0,Rhodotorula mucilaginosa,21,-0.0037947137279588177,2.342985129899898,0.03921118580792235,soil,Italy
235.0,Rhodotorula mucilaginosa,28,-0.039601196349791354,2.8109132141262796,0.6179247135666357,marsh_tidalflat,China
236.0,Rhodotorula mucilaginosa,28,-0.010098687917039882,2.509004730870515,0.45881749712624875,,China
237.0,Rhodotorula mucilaginosa,28,-0.01124230167431121,2.508825677560614,0.512576105681719,food,Italy
238.0,Rhodotorula mucilaginosa,28,-0.014601643939996474,2.7625169662637865,0.45556484147802534,food,Italy
239.0,Rhodotorula mucilaginosa,20,-0.03192790223595959,2.052208938256027,0.4682049490457548,food,Italy
240.0,Rhodotorula mucilaginosa,28,-0.008349550511278702,2.5625780378903635,0.40378424311413974,insect,Italy
241.0,Rhodotorula mucilaginosa,25,-0.02513406396571113,2.448962117518632,0.2653809630113718,marine,Italy
243.0,Rhodotorula mucilaginosa,28,-0.020668684585331044,2.1253414405214324,0.6247594866545153,soil,Italy
245.0,Rhodotorula mucilaginosa,28,-0.020741656096536613,2.545389862151765,0.6500245023566572,soil,Italy
246.0,Rhodotorula mucilaginosa,28,-0.026856684239190697,2.60724928184511,0.8700240304484842,insect,Italy
