strain_id,copper_mm,species,hue_wmean,chroma_median,n,morph
34.0,25.0,Rhodotorula sphaerocarpa,58.60518891483848,9.389190473568044,15.0,0
34.0,30.0,Rhodotorula sphaerocarpa,59.08400527595043,6.88519435773941,15.0,0
35.0,0.0,,38.43223242080327,7.48831789631522,16.0,0
35.0,5.0,,42.77904589478372,4.480289738326961,10.0,0
36.0,0.0,Rhodotorula mucilaginosa,24.055912573968364,8.829668963078145,20.0,1
36.0,5.0,Rhodotorula mucilaginosa,47.531895241037375,11.14995274939696,20.0,0
36.0,10.0,Rhodotorula mucilaginosa,50.347543029972435,8.946874115097371,20.0,0
36.0,15.0,Rhodotorula mucilaginosa,51.603318878961076,7.5656241524412025,20.0,0
36.0,20.0,Rhodotorula mucilaginosa,55.03676980819466,6.817044974980869,20.0,0
36.0,25.0,Rhodotorula mucilaginosa,56.204012159163135,5.69870233709506,20.0,0
36.0,30.0,Rhodotorula mucilaginosa,51.210261899763694,4.860848733340286,20.0,0
37.0,0.0,Rhodotorula paludigena,27.56321808833636,9.338130906433372,10.0,1
37.0,5.0,Rhodotorula paludigena,44.34988173090142,11.531410663623532,10.0,0
37.0,10.0,Rhodotorula paludigena,48.882053040817034,9.247622937769293,10.0,0
37.0,15.0,Rhodotorula paludigena,58.719836348370634,6.808607506265532,10.0,0
37.0,20.0,Rhodotorula paludigena,73.10164010359509,5.422483918547119,10.0,0
37.0,25.0,Rhodotorula paludigena,83.33054515339566,4.8634048798068665,10.0,0
37.0,30.0,Rhodotorula paludigena,94.12005412317959,4.152312842454508,10.0,0
38.0,0.0,Rhodotorula mucilaginosa,18.224151467387568,11.051212017182298,20.0,1
38.0,5.0,Rhodotorula mucilaginosa,34.144424838214256,12.145328679055321,20.0,0
38.0,10.0,Rhodotorula mucilaginosa,38.78492974855058,11.2598658808016,20.0,0
38.0,15.0,Rhodotorula mucilaginosa,40.66269004983286,9.845151200264329,20.0,0
38.0,20.0,Rhodotorula mucilaginosa,46.25235991633015,7.801860788030094,20.0,0
38.0,25.0,Rhodotorula mucilaginosa,49.647257810906694,6.88557442192049,20.0,0
38.0,30.0,Rhodotorula mucilaginosa,53.51301846195504,4.795750362682947,20.0,0
39.0,0.0,Rhodotorula mucilaginosa,23.82675491006324,10.709878699636034,20.0,1
39.0,5.0,Rhodotorula mucilaginosa,39.79485740682485,12.816091559696478,20.0,0
39.0,10.0,Rhodotorula mucilaginosa,40.16639827603693,10.30913061147614,20.0,0
39.0,15.0,Rhodotorula mucilaginosa,40.54798736489139,8.098801730630967,20.0,0
39.0,20.0,Rhodotorula mucilaginosa,41.3097527730137,5.895773038198936,20.0,0
39.0,25.0,Rhodotorula mucilaginosa,43.809057537341424,4.594090628913373,20.0,0
39.0,30.0,Rhodotorula mucilaginosa,9.562210112471798,2.655039471479297,18.0,1
40.0,0.0,Rhodotorula mucilaginosa,27.94972876392806,10.504914708589137,20.0,1
40.0,5.0,Rhodotorula mucilaginosa,43.96149988637371,12.847574250454347,20.0,0
40.0,10.0,Rhodotorula mucilaginosa,50.2011045114351,12.234049389083772,20.0,0
40.0,15.0,Rhodotorula mucilaginosa,51.30667530118148,10.623090972853884,20.0,0
40.0,20.0,Rhodotorula mucilaginosa,55.25341971012625,9.30779684574268,20.0,0
40.0,25.0,Rhodotorula mucilaginosa,57.175725701253015,9.251910650517416,20.0,0
40.0,30.0,Rhodotorula mucilaginosa,56.057181144255196,7.447485755440279,20.0,0
41.0,0.0,Rhodotorula mucilaginosa,15.90579292607384,10.467175730502234,20.0,1
41.0,5.0,Rhodotorula mucilaginosa,36.041578303889494,12.373032979984828,20.0,0
41.0,10.0,Rhodotorula mucilaginosa,39.11251857932481,11.186276641863454,20.0,0
41.0,15.0,Rhodotorula mucilaginosa,40.356136871082796,10.005092989291438,20.0,0
41.0,20.0,Rhodotorula mucilaginosa,46.10444776606333,8.674750497943593,20.0,0
41.0,25.0,Rhodotorula mucilaginosa,51.71650705018665,7.992013966368042,20.0,0
41.0,30.0,Rhodotorula mucilaginosa,51.796168514849946,4.822179029018715,20.0,0
42.0,0.0,Rhodotorula mucilaginosa,30.806890668937623,5.178093932365461,20.0,1
42.0,5.0,Rhodotorula mucilaginosa,58.42418549214832,10.021728361777807,15.0,0
42.0,10.0,Rhodotorula mucilaginosa,59.836133134394906,8.596423785200734,15.0,0
42.0,15.0,Rhodotorula mucilaginosa,62.503109634457886,7.444996078670868,15.0,0
42.0,20.0,Rhodotorula mucilaginosa,77.80877097185733,6.367081142604972,10.0,0
42.0,25.0,Rhodotorula mucilaginosa,83.09931625891933,6.530168975055069,10.0,0
42.0,30.0,Rhodotorula mucilaginosa,88.24317774536163,5.51098603317523,10.0,0
43.0,0.0,Rhodotorula toruloides,13.012816338247944,5.398960714443508,20.0,1
43.0,5.0,Rhodotorula toruloides,48.901675660414874,10.672284085248704,15.0,0
43.0,10.0,Rhodotorula toruloides,34.693811245371805,6.150475012240167,20.0,0
43.0,15.0,Rhodotorula toruloides,25.949795078938017,6.042731883838494,20.0,1
