strain_id,species,pace_loglog
13.0,Rhodotorula mucilaginosa,0.3695423368043109
13.0,Rhodotorula mucilaginosa,0.8931495763210302
13.0,Rhodotorula mucilaginosa,0.5089599404991125
13.0,Rhodotorula mucilaginosa,0.8931495763210302
13.0,Rhodotorula mucilaginosa,0.8931495763210302
13.0,Rhodotorula mucilaginosa,0.8931495763210302
13.0,Rhodotorula mucilaginosa,0.34141565678128405
13.0,Rhodotorula mucilaginosa,0.41312146886421347
13.0,Rhodotorula mucilaginosa,0.33470921872068937
13.0,Rhodotorula mucilaginosa,0.33414660618421577
13.0,Rhodotorula mucilaginosa,0.3262106311446486
13.0,Rhodotorula mucilaginosa,0.9600139752627009
13.0,Rhodotorula mucilaginosa,0.9600139752627009
13.0,Rhodotorula mucilaginosa,0.9600139752627009
13.0,Rhodotorula mucilaginosa,0.9600139752627009
13.0,Rhodotorula mucilaginosa,0.9600139752627009
14.0,Rhodotorula mucilaginosa,0.2861481127824569
14.0,Rhodotorula mucilaginosa,0.3363467649295797
14.0,Rhodotorula mucilaginosa,0.39055022217378116
14.0,Rhodotorula mucilaginosa,0.39055022217378116
14.0,Rhodotorula mucilaginosa,0.39055022217378116
14.0,Rhodotorula mucilaginosa,0.39055022217378116
14.0,Rhodotorula mucilaginosa,0.2441375526268355
14.0,Rhodotorula mucilaginosa,0.4003851223487663
14.0,Rhodotorula mucilaginosa,0.4003851223487663
14.0,Rhodotorula mucilaginosa,0.29566813977663847
14.0,Rhodotorula mucilaginosa,0.29566813977663847
14.0,Rhodotorula mucilaginosa,0.29566813977663847
14.0,Rhodotorula mucilaginosa,0.29566813977663847
14.0,Rhodotorula mucilaginosa,0.29566813977663847
14.0,Rhodotorula mucilaginosa,0.3189418722908843
14.0,Rhodotorula mucilaginosa,0.31342818823894414
14.0,Rhodotorula mucilaginosa,0.7218323273053114
14.0,Rhodotorula mucilaginosa,0.7218323273053114
14.0,Rhodotorula mucilaginosa,0.7218323273053114
14.0,Rhodotorula mucilaginosa,0.7218323273053114
14.0,Rhodotorula mucilaginosa,0.7218323273053114
15.0,Rhodotorula mucilaginosa,0.1842749852221108
15.0,Rhodotorula mucilaginosa,0.21831856328484894
15.0,Rhodotorula mucilaginosa,0.24945326329041184
15.0,Rhodotorula mucilaginosa,0.30130220395172236
15.0,Rhodotorula mucilaginosa,0.40493031608006685
15.0,Rhodotorula mucilaginosa,0.4921396861638144
15.0,Rhodotorula mucilaginosa,0.4921396861638144
15.0,Rhodotorula mucilaginosa,0.4921396861638144
15.0,Rhodotorula mucilaginosa,0.4921396861638144
15.0,Rhodotorula mucilaginosa,0.4921396861638144
15.0,Rhodotorula mucilaginosa,0.3060718215874452
15.0,Rhodotorula mucilaginosa,0.3464469752265743
15.0,Rhodotorula mucilaginosa,0.3464469752265743
15.0,Rhodotorula mucilaginosa,0.575656082180115
15.0,Rhodotorula mucilaginosa,0.575656082180115
15.0,Rhodotorula mucilaginosa,0.575656082180115
15.0,Rhodotorula mucilaginosa,0.575656082180115
15.0,Rhodotorula mucilaginosa,0.4693905204239011
15.0,Rhodotorula mucilaginosa,0.42644228947848967
15.0,Rhodotorula mucilaginosa,1.0443484560692875
15.0,Rhodotorula mucilaginosa,1.0443484560692875
15.0,Rhodotorula mucilaginosa,1.0443484560692875
15.0,Rhodotorula mucilaginosa,1.0443484560692875
15.0,Rhodotorula mucilaginosa,1.0443484560692875
16.0,Rhodotorula sp. clade XI,0.29683496595910497
16.0,Rhodotorula sp. clade XI,0.29683496595910497
16.0,Rhodotorula sp. clade XI,0.9847588574941498
16.0,Rhodotorula sp. clade XI,0.9847588574941498
